web-scraper-order,web-scraper-start-url,listing_link,listing_link-href,price,no_bed,no_bath,no_rec,size,type,address,EPC
1710857925-3,https://search.savills.com/com/en/list?SearchList=Id_37536+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Month&ResidentialSizeUnit=SquareMeter&LandAreaUnit=Hectare&SaleableAreaUnit=SquareMeter&AvailableSizeUnit=SquareMeter&Category=GRS_CAT_RES&LocationKey=england&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbcbrscli234960,"£1,200,000",5Bedrooms,3Bathrooms,2Receptions,"302.21 sq m (3,253 sq ft)",House,"Hastingleigh, Ashford, Kent, TN25 5JE",EPC Rating: D
1710857928-4,https://search.savills.com/com/en/list?SearchList=Id_37536+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Month&ResidentialSizeUnit=SquareMeter&LandAreaUnit=Hectare&SaleableAreaUnit=SquareMeter&AvailableSizeUnit=SquareMeter&Category=GRS_CAT_RES&LocationKey=england&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbcbrsclv234726,"£850,000",4Bedrooms,2Bathrooms,3Receptions,"144.93 sq m (1,560 sq ft)",House,"Elham, Canterbury, Kent, CT4 6TE",EPC Rating: F
1710857931-5,https://search.savills.com/com/en/list?SearchList=Id_37536+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Month&ResidentialSizeUnit=SquareMeter&LandAreaUnit=Hectare&SaleableAreaUnit=SquareMeter&AvailableSizeUnit=SquareMeter&Category=GRS_CAT_RES&LocationKey=england&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbcbrscli233388,"£1,000,000",4Bedrooms,2Bathrooms,3Receptions,"238.85 sq m (2,571 sq ft)",House,"Staple, Canterbury, Kent, CT3 1NX",EPC Rating: C
1710857933-6,https://search.savills.com/com/en/list?SearchList=Id_37536+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Month&ResidentialSizeUnit=SquareMeter&LandAreaUnit=Hectare&SaleableAreaUnit=SquareMeter&AvailableSizeUnit=SquareMeter&Category=GRS_CAT_RES&LocationKey=england&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbcbrscks230272,"£750,000",4Bedrooms,2Bathrooms,2Receptions,"217.67 sq m (2,343 sq ft)",House,"Wingham, Canterbury, Kent, CT3 1BJ",EPC Rating: E
1710857936-7,https://search.savills.com/com/en/list?SearchList=Id_37536+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Month&ResidentialSizeUnit=SquareMeter&LandAreaUnit=Hectare&SaleableAreaUnit=SquareMeter&AvailableSizeUnit=SquareMeter&Category=GRS_CAT_RES&LocationKey=england&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbcbrsclv233157,"£2,950,000",5Bedrooms,5Bathrooms,4Receptions,"445.10 sq m (4,791 sq ft)",House,"Whitstable, Kent, CT5 2BQ",EPC Rating: C
